Time    S       E       I_NS    I_Sy    I_Sev   I_Crit  R       D      
 3.9583 997.0000 5891.0000 2786.0000 292.0000  0.0000  2.0000 29.0000  3.0000
 4.0000 992.0000 5844.0000 2830.0000 303.0000  0.0000  2.0000 26.0000  3.0000
 4.0417 991.0000 5791.0000 2867.0000 317.0000  0.0000  2.0000 29.0000  3.0000
 4.0833 988.0000 5748.0000 2905.0000 326.0000  0.0000  2.0000 28.0000  3.0000
 4.1250 987.0000 5692.0000 2949.0000 338.0000  0.0000  2.0000 29.0000  3.0000
 4.1667 986.0000 5646.0000 2977.0000 349.0000  0.0000  2.0000 37.0000  3.0000
 4.2083 982.0000 5591.0000 3023.0000 360.0000  0.0000  2.0000 39.0000  3.0000
 4.2500 980.0000 5547.0000 3064.0000 373.0000  0.0000  2.0000 31.0000  3.0000
 4.2917 978.0000 5484.0000 3107.0000 385.0000  0.0000  2.0000 41.0000  3.0000
 4.3333 975.0000 5451.0000 3136.0000 393.0000  0.0000  2.0000 40.0000  3.0000
 4.3750 972.0000 5396.0000 3160.0000 418.0000  0.0000  2.0000 49.0000  3.0000
 4.4167 969.0000 5348.0000 3194.0000 431.0000  0.0000  2.0000 53.0000  3.0000
 4.4583 953.0000 5304.0000 3233.0000 435.0000  0.0000  2.0000 70.0000  3.0000
 4.5000 946.0000 5263.0000 3257.0000 446.0000  0.0000  2.0000 83.0000  3.0000
 4.5417 936.0000 5221.0000 3292.0000 461.0000  0.0000  2.0000 85.0000  3.0000
 4.5833 914.0000 5192.0000 3328.0000 475.0000  0.0000  2.0000 86.0000  3.0000
 4.6250 910.0000 5151.0000 3359.0000 486.0000  0.0000  2.0000 89.0000  3.0000
 4.6667 899.0000 5143.0000 3362.0000 498.0000  0.0000  2.0000 93.0000  3.0000
 4.7083 886.0000 5145.0000 3365.0000 515.0000  0.0000  2.0000 84.0000  3.0000
 4.7500 867.0000 5150.0000 3393.0000 522.0000  0.0000  2.0000 63.0000  3.0000
 4.7917 865.0000 5125.0000 3409.0000 534.0000  0.0000  2.0000 62.0000  3.0000
 4.8333 862.0000 5095.0000 3439.0000 543.0000  0.0000  2.0000 56.0000  3.0000
 4.8750 862.0000 5055.0000 3467.0000 550.0000  0.0000  2.0000 61.0000  3.0000
 4.9167 862.0000 5019.0000 3489.0000 565.0000  1.0000  2.0000 59.0000  3.0000
 4.9583 861.0000 4986.0000 3515.0000 582.0000  1.0000  2.0000 50.0000  3.0000
 5.0000 861.0000 4934.0000 3555.0000 597.0000  1.0000  2.0000 47.0000  3.0000
 5.0417 861.0000 4898.0000 3565.0000 615.0000  1.0000  2.0000 55.0000  3.0000
 5.0833 859.0000 4875.0000 3572.0000 626.0000  1.0000  2.0000 62.0000  3.0000
 5.1250 859.0000 4853.0000 3590.0000 631.0000  2.0000  2.0000 60.0000  3.0000
 5.1667 856.0000 4821.0000 3620.0000 636.0000  2.0000  2.0000 60.0000  3.0000
 5.2083 855.0000 4795.0000 3620.0000 651.0000  2.0000  2.0000 72.0000  3.0000
 5.2500 853.0000 4772.0000 3632.0000 670.0000  2.0000  2.0000 66.0000  3.0000
 5.2917 851.0000 4743.0000 3636.0000 689.0000  2.0000  2.0000 74.0000  3.0000
 5.3333 850.0000 4717.0000 3651.0000 701.0000  2.0000  2.0000 74.0000  3.0000
 5.3750 843.0000 4692.0000 3672.0000 716.0000  2.0000  2.0000 70.0000  3.0000
 5.4167 836.0000 4654.0000 3697.0000 723.0000  2.0000  2.0000 83.0000  3.0000
 5.4583 825.0000 4632.0000 3710.0000 737.0000  2.0000  2.0000 89.0000  3.0000
 5.5000 821.0000 4616.0000 3715.0000 745.0000  2.0000  2.0000 96.0000  3.0000
 5.5417 815.0000 4595.0000 3734.0000 754.0000  2.0000  2.0000 95.0000  3.0000
 5.5833 811.0000 4572.0000 3740.0000 767.0000  2.0000  2.0000 103.0000  3.0000
 5.6250 807.0000 4557.0000 3745.0000 778.0000  2.0000  2.0000 106.0000  3.0000
 5.6667 803.0000 4536.0000 3760.0000 789.0000  2.0000  2.0000 105.0000  3.0000
 5.7083 802.0000 4528.0000 3775.0000 800.0000  2.0000  2.0000 88.0000  3.0000
 5.7500 801.0000 4529.0000 3777.0000 816.0000  2.0000  2.0000 70.0000  3.0000
 5.7917 795.0000 4517.0000 3783.0000 830.0000  2.0000  2.0000 68.0000  3.0000
 5.8333 795.0000 4491.0000 3794.0000 842.0000  2.0000  2.0000 71.0000  3.0000
 5.8750 795.0000 4478.0000 3788.0000 864.0000  2.0000  2.0000 68.0000  3.0000
 5.9167 794.0000 4455.0000 3798.0000 877.0000  2.0000  2.0000 69.0000  3.0000
 5.9583 792.0000 4448.0000 3801.0000 891.0000  2.0000  2.0000 61.0000  3.0000
 6.0000 791.0000 4430.0000 3808.0000 906.0000  2.0000  2.0000 58.0000  3.0000
 6.0417 791.0000 4409.0000 3807.0000 923.0000  2.0000  2.0000 63.0000  3.0000
 6.0833 791.0000 4404.0000 3803.0000 932.0000  2.0000  2.0000 63.0000  3.0000
 6.1250 791.0000 4391.0000 3798.0000 944.0000  2.0000  2.0000 69.0000  3.0000
 6.1667 789.0000 4368.0000 3807.0000 962.0000  2.0000  2.0000 67.0000  3.0000
 6.2083 789.0000 4353.0000 3802.0000 977.0000  2.0000  2.0000 72.0000  3.0000
 6.2500 787.0000 4336.0000 3804.0000 982.0000  2.0000  2.0000 84.0000  3.0000
 6.2917 786.0000 4324.0000 3812.0000 993.0000  2.0000  2.0000 78.0000  3.0000
 6.3333 784.0000 4309.0000 3809.0000 1002.0000  2.0000  2.0000 89.0000  3.0000
 6.3750 783.0000 4286.0000 3802.0000 1011.0000  2.0000  2.0000 111.0000  3.0000
 6.4167 782.0000 4258.0000 3813.0000 1018.0000  2.0000  2.0000 122.0000  3.0000
 6.4583 778.0000 4245.0000 3813.0000 1028.0000  2.0000  2.0000 129.0000  3.0000
 6.5000 768.0000 4219.0000 3847.0000 1033.0000  2.0000  2.0000 126.0000  3.0000
 6.5417 764.0000 4202.0000 3845.0000 1043.0000  2.0000  2.0000 139.0000  3.0000
 6.5833 760.0000 4195.0000 3841.0000 1051.0000  2.0000  2.0000 146.0000  3.0000
 6.6250 755.0000 4185.0000 3844.0000 1062.0000  2.0000  2.0000 147.0000  3.0000
 6.6667 752.0000 4190.0000 3851.0000 1068.0000  3.0000  2.0000 131.0000  3.0000
 6.7083 749.0000 4195.0000 3845.0000 1084.0000  3.0000  2.0000 119.0000  3.0000
 6.7500 749.0000 4216.0000 3838.0000 1098.0000  4.0000  2.0000 90.0000  3.0000
 6.7917 748.0000 4212.0000 3844.0000 1110.0000  4.0000  2.0000 77.0000  3.0000
 6.8333 746.0000 4193.0000 3852.0000 1124.0000  4.0000  2.0000 76.0000  3.0000
 6.8750 745.0000 4189.0000 3849.0000 1136.0000  4.0000  2.0000 72.0000  3.0000
 6.9167 744.0000 4189.0000 3833.0000 1147.0000  7.0000  2.0000 75.0000  3.0000
 6.9583 742.0000 4188.0000 3836.0000 1156.0000  6.0000  3.0000 66.0000  3.0000
 7.0000 741.0000 4182.0000 3830.0000 1165.0000  7.0000  3.0000 69.0000  3.0000
 7.0417 740.0000 4171.0000 3829.0000 1176.0000  6.0000  3.0000 72.0000  3.0000
 7.0833 739.0000 4165.0000 3830.0000 1182.0000  7.0000  3.0000 71.0000  3.0000
 7.1250 739.0000 4146.0000 3835.0000 1181.0000  7.0000  3.0000 86.0000  3.0000
 7.1667 738.0000 4140.0000 3842.0000 1181.0000  7.0000  3.0000 86.0000  3.0000
