"","distance","seed","kappa","initE","damp_time","damp_lvl"
40,3549.2638816343206,816032835,0.7256912333836041,7.158800520785499e-05,17.0,0.10338603190674898
41,3365.4509833854804,694691942,0.5177543955992661,9.74341277515438e-05,23.0,0.1826504574249068
42,4209.552897897639,553472732,0.9939599942856113,7.763616398773082e-05,14.0,0.0754469349782435
43,3568.510442585352,875396755,0.5494836768810047,9.092113359974794e-05,24.0,0.1640193648898425
44,3549.477586956441,394891791,0.6378069227897116,9.644116777408727e-05,21.0,0.15380947575611523
45,2382.678633905596,310712557,0.7688169013452402,7.054742383731499e-05,17.0,0.12658077101035164
46,3115.769248196562,571331890,0.48504725953450106,0.00011551320949622755,23.0,0.19823009235885145
47,2419.62083864374,929969913,1.7658896025651378,7.671251389199824e-05,11.0,0.08315737432086102
48,3772.9950137751975,792476246,0.8476500851840765,0.00010807811734407985,15.0,0.1518858146844519
49,4166.329385817533,379627992,0.7021892773193769,0.00011147886258615743,15.0,0.1358263431446751
50,2989.4296307463005,502499823,1.2399313656143567,0.00011238689038574856,13.0,0.08682578114039222
51,3747.2476444358676,247143839,0.521527566050742,0.00012666212250435195,22.0,0.12725913618268545
52,3516.8751054198096,545141611,0.5754432522884838,3.35912208781751e-05,20.0,0.14352666279414805
53,4310.985681717507,240700544,0.5289986377822504,0.00010584199606389927,18.0,0.20431422688698345
54,2438.61186532818,878320613,0.7579856335017067,3.667776355569654e-05,18.0,0.13813227140500256
55,3647.398832589707,112081266,1.0648677165309386,6.956898553933654e-05,11.0,0.16057328592918957
56,3933.8675734252415,602489887,0.9126229238411188,6.299764524484973e-05,15.0,0.075553157870211
57,3612.8054150646117,834352548,0.5394577688577218,8.221306412369678e-05,18.0,0.231055240916986
58,3615.4715975606637,233355883,0.6021900302138036,8.278001478374461e-05,23.0,0.1304939585574993
59,2488.5866013019727,122185140,0.9049526382377243,9.36700401667574e-05,15.0,0.13621080940809702
60,2547.087929158194,306870062,0.7779734028275811,3.807458159030424e-05,18.0,0.13724722799858807
61,4308.225949644658,265949969,0.5943306871475292,8.629162543885882e-05,19.0,0.10157903397175626
62,3586.256791550671,312149557,0.7243078780559077,9.080401184620854e-05,17.0,0.10741633899809407
63,4275.729000500543,596237948,0.3864590782679682,7.722076574000463e-05,27.0,0.1526080836619081
64,3856.2426495628174,893293497,0.6516098404158227,7.143286760670792e-05,19.0,0.13434882586381802
65,3972.0475236343686,505346350,0.7494573916642236,0.00010020723498837405,17.0,0.10048425938220817
66,3199.113802766526,958919400,0.9646661385997377,1.3404318607081479e-05,18.0,0.0906872311216713
67,2946.923802410767,791396889,0.5715666635921334,4.276388113388574e-05,21.0,0.21359977254744378
68,3396.915954945061,545253793,0.5774727110509538,8.035464306667915e-05,21.0,0.1581972284409744
69,3113.298101870377,689954686,1.2019874859101425,4.2972163161489685e-05,15.0,0.12457954894175925
70,4119.115037811871,910113870,0.5072851020040372,2.663622507377965e-05,24.0,0.260178780416999
71,4119.247221457491,256595935,0.5870539466105156,8.548042238568698e-05,21.0,0.11831736961955215
72,4013.411885347833,171158321,0.6071351083215987,4.376943622293118e-05,24.0,0.11303210387816987
73,3489.007004087958,462872128,1.0051111130561818,7.588185526476451e-05,14.0,0.13307097665819478
74,3900.9881995600263,499984796,0.8335023413234932,0.00010825951393868476,15.0,0.08791550492853266
75,4250.537911453837,825905408,0.7300692704215441,4.048154497967888e-05,21.0,0.1402240127575633
76,4172.851215541028,210412145,1.4272110711069241,8.62938118491611e-05,9.0,0.11414715917196351
77,3977.657637208198,423937128,0.5839567101657512,4.0659310466905173e-05,20.0,0.19340233770046542
78,4102.257936582309,307758938,0.776569464286001,3.772616695275701e-05,20.0,0.12267790761299585
79,4125.905384762499,219466887,1.0584649712680665,4.220754279191314e-05,11.0,0.13174626417609775
80,2733.7670182975785,768245845,0.8419576360406922,0.00010433025580142632,13.0,0.15947375824963353
